t,theta,theta_dot,voltage
0,0,0,2
0.001,0,0,2
0.002,0,0,2
0.003,0,0,2
0.004,0,0,2
0.005,0.00306796,0,2
0.006,0.00613592,0.109638,2
0.007,0.00613592,0.109638,2
0.008,0.00920388,0.109638,2
0.009,0.0153398,0.109638,2
0.01,0.0184078,0,2
0.011,0.0245437,0,2
0.012,0.0306796,4.30134,2
0.013,0.0337476,4.30134,2
0.014,0.0429515,5.63938,2
0.015,0.0490874,5.63938,2
0.016,0.0552233,6.59157,2
0.017,0.0644272,6.59157,2
0.018,0.0705631,7.49159,2
0.019,0.079767,8.17064,2
0.02,0.0889709,8.17064,2
0.021,0.0981748,8.90663,2
0.022,0.110447,9.43122,2
0.023,0.119651,10.0164,2
0.024,0.131922,10.5383,2
0.025,0.141126,11.043,2
0.026,0.153398,11.4975,2
0.027,0.16567,11.9135,2
0.028,0.177942,12.3318,2
0.029,0.190214,12.7349,2
0.03,0.205553,13.1373,2
0.031,0.217825,13.4921,2
0.032,0.233165,13.8741,2
0.033,0.248505,14.2411,2
0.034,0.263845,14.8072,2
0.035,0.279185,15.1281,2
0.036,0.294524,15.4255,2
0.037,0.309864,15.7194,2
0.038,0.325204,16.2359,2
0.039,0.343612,16.4969,2
0.04,0.358952,16.8066,2
0.041,0.377359,17.2317,2
0.042,0.395767,17.5218,2
0.043,0.414175,17.9191,2
0.044,0.432583,18.2112,2
0.045,0.45099,18.6015,2
0.046,0.469398,18.8451,2
0.047,0.487806,19.255,2
0.048,0.509282,19.6542,2
0.049,0.527689,19.8333,2
0.05,0.549165,20.2006,2
0.051,0.570641,20.5592,2
0.052,0.589049,20.7154,2
0.053,0.610524,21.045,2
0.054,0.632,21.3661,2
0.055,0.653476,21.549,2
0.056,0.67802,21.863,2
0.057,0.699495,22.1419,2
0.058,0.720971,22.4166,2
0.059,0.745515,22.7379,2
0.06,0.76699,22.9822,2
0.061,0.791534,23.2875,2
0.062,0.81301,23.4562,2
0.063,0.837554,23.7163,2
0.064,0.862097,23.9795,2
0.065,0.886641,24.2075,2
0.066,0.911185,24.4798,2
0.067,0.935728,24.7063,2
0.068,0.960272,24.9203,2
0.069,0.984816,25.1551,2
0.07,1.01243,25.4661,2
0.071,1.03697,25.7549,2
0.072,1.06151,25.8771,2
0.073,1.08913,26.081,2
0.074,1.11674,26.3195,2
0.075,1.14128,26.5321,2
0.076,1.16889,26.7199,2
0.077,1.19651,26.9975,2
0.078,1.22412,27.1785,2
0.079,1.25173,27.3654,2
0.08,1.27934,27.5557,2
0.081,1.30695,27.7757,2
0.082,1.33456,27.9736,2
0.083,1.36217,28.1761,2
0.084,1.38979,28.376,2
0.085,1.42047,28.5844,2
0.086,1.44808,28.6884,2
0.087,1.47569,28.8938,2
0.088,1.50637,29.0659,2
0.089,1.53398,29.2603,2
0.09,1.56466,29.4377,2
0.091,1.59534,29.6243,2
0.092,1.62295,29.765,2
0.093,1.65363,29.9567,2
0.094,1.68431,30.076,2
0.095,1.71499,30.2656,2
0.096,1.74567,30.4544,2
0.097,1.77635,30.6031,2
0.098,1.80703,30.8177,2
0.099,1.83771,30.9634,2
0.1,1.86839,31.0964,2
0.101,1.89907,31.2228,2
0.102,1.92975,31.3446,2
0.103,1.9635,31.5472,2
0.104,1.99418,31.6636,2
0.105,2.02485,31.8038,2
0.106,2.0586,31.9244,2
0.107,2.08928,32.0402,2
