t,theta,alpha,theta_dot,alpha_dot,voltage,mode
0.000000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.001000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.002000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.003000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.004000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.005000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.006000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.007000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.008000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.009000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.010000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.011000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.012000,0.000000,-3.141593,0.000000,-0.000000,1.100000,0
0.013000,0.000000,3.138525,0.000000,-0.000000,1.100000,0
0.014000,0.003068,3.138525,0.020052,-0.000000,1.100000,0
0.015000,0.003068,3.138525,0.020052,-0.000000,1.100000,0
0.016000,0.003068,3.138525,0.020052,-0.000000,1.100000,0
0.017000,0.003068,3.138525,0.020052,-0.000000,1.100000,0
0.018000,0.003068,3.135457,0.020052,-0.000000,1.100000,0
0.019000,0.003068,3.135457,0.020052,-0.000000,1.100000,0
0.020000,0.006136,3.135457,0.020052,-0.000000,1.100000,0
0.021000,0.006136,3.135457,0.020052,-0.000000,1.100000,0
0.022000,0.006136,3.132389,0.020052,-0.000000,1.100000,0
0.023000,0.006136,3.132389,0.020052,-0.000000,1.100000,0
0.024000,0.009204,3.132389,0.020052,-0.000000,1.100000,0
0.025000,0.009204,3.132389,0.020052,-0.000000,1.100000,0
0.026000,0.009204,3.129321,0.020052,-0.000000,1.100000,0
0.027000,0.012272,3.129321,0.020052,-0.000000,1.100000,0
0.028000,0.012272,3.129321,0.020052,-0.000000,1.100000,0
0.029000,0.012272,3.126253,0.020052,-0.753071,5.300000,0
0.030000,0.015340,3.126253,0.000000,-0.753071,5.300000,0
0.031000,0.015340,3.123185,0.000000,-0.753071,5.300000,0
0.032000,0.018408,3.123185,0.000000,-0.753071,5.300000,0
0.033000,0.018408,3.120117,0.000000,-0.753071,5.300000,0
0.034000,0.021476,3.120117,0.000000,-0.753071,5.300000,0
0.035000,0.024544,3.117049,0.000000,-0.753071,5.300000,0
0.036000,0.024544,3.113981,0.000000,-1.701908,5.300000,0
0.037000,0.027612,3.110913,1.211863,-1.701908,5.300000,0
0.038000,0.030680,3.110913,1.211863,-1.701908,5.300000,0
0.039000,0.033748,3.107845,1.211863,-1.701908,5.300000,0
0.040000,0.036816,3.101709,1.211863,-2.851422,5.300000,0
0.041000,0.039884,3.098641,2.381136,-2.851422,5.300000,0
0.042000,0.042951,3.095573,2.381136,-2.851422,5.300000,0
0.043000,0.049087,3.092505,2.381136,-2.851422,5.300000,0
0.044000,0.052155,3.089437,3.315297,-3.676529,5.300000,0
0.045000,0.055223,3.083301,3.315297,-3.676529,5.300000,0
0.046000,0.061359,3.080233,3.315297,-3.676529,5.300000,0
0.047000,0.064427,3.074097,4.002523,-4.321728,5.300000,0
0.048000,0.070563,3.071030,4.002523,-4.321728,5.300000,0
0.049000,0.073631,3.064894,4.002523,-4.848110,5.300000,0
0.050000,0.079767,3.058758,4.561342,-4.848110,5.300000,0
0.051000,0.085903,3.052622,4.561342,-5.314533,5.300000,0
0.052000,0.092039,3.049554,5.087684,-5.314533,5.300000,0
0.053000,0.095107,3.043418,5.087684,-5.314533,5.300000,0
0.054000,0.101243,3.037282,5.502419,-5.756438,5.300000,0
0.055000,0.107379,3.031146,5.502419,-5.756438,5.300000,0
0.056000,0.113515,3.025010,5.962111,-6.139931,5.300000,0
0.057000,0.122718,3.015806,5.962111,-6.522181,5.300000,0
0.058000,0.128854,3.009670,6.326237,-6.522181,5.300000,0
0.059000,0.134990,3.003534,6.326237,-6.872952,5.300000,0
0.060000,0.141126,2.997398,6.728652,-6.872952,5.300000,0
0.061000,0.150330,2.988195,7.002813,-7.160002,5.300000,0
0.062000,0.156466,2.982059,7.002813,-7.160002,5.300000,0
0.063000,0.162602,2.972855,7.343464,-7.452035,5.300000,0
0.064000,0.171806,2.966719,7.343464,-7.671968,5.300000,0
0.065000,0.181010,2.957515,7.561147,-7.671968,5.300000,0
0.066000,0.187146,2.951379,7.810589,-7.933671,5.300000,0
0.067000,0.196350,2.942175,7.810589,-8.157438,5.300000,0
0.068000,0.205553,2.932971,8.083629,-8.157438,5.300000,0
0.069000,0.211689,2.923767,8.243284,-8.335594,5.300000,0
0.070000,0.220893,2.917631,8.243284,-8.530837,5.300000,0
0.071000,0.230097,2.908428,8.491485,-8.530837,5.300000,0
0.072000,0.239301,2.899224,8.671576,-8.728284,5.300000,0
