t,theta,theta_dot,voltage
0.000000,0.000000,0.000000,3.000000
0.001000,0.000000,0.000000,3.000000
0.002000,0.000000,0.000000,3.000000
0.003000,0.000000,0.000000,3.000000
0.004000,0.003068,0.000000,3.000000
0.005000,0.003068,0.000000,3.000000
0.006000,0.003068,0.000000,3.000000
0.007000,0.003068,0.000000,3.000000
0.008000,0.003068,0.000000,3.000000
0.009000,0.003068,0.000000,3.000000
0.010000,0.006136,0.000000,3.000000
0.011000,0.006136,0.000000,3.000000
0.012000,0.009204,0.000000,3.000000
0.013000,0.009204,0.000000,3.000000
0.014000,0.009204,0.000000,3.000000
0.015000,0.012272,0.000000,3.000000
0.016000,0.015340,0.000000,3.000000
0.017000,0.015340,0.000000,3.000000
0.018000,0.018408,0.000000,3.000000
0.019000,0.018408,0.000000,3.000000
0.020000,0.021476,0.000000,3.000000
0.021000,0.024544,0.000000,3.000000
0.022000,0.027612,1.684141,3.000000
0.023000,0.027612,1.684141,3.000000
0.024000,0.030680,1.684141,3.000000
0.025000,0.033748,1.684141,3.000000
0.026000,0.036816,1.684141,3.000000
0.027000,0.039884,2.386313,3.000000
0.028000,0.042951,2.386313,3.000000
0.029000,0.046019,2.386313,3.000000
0.030000,0.049087,2.386313,3.000000
0.031000,0.052155,2.919927,3.000000
0.032000,0.055223,2.919927,3.000000
0.033000,0.061359,2.919927,3.000000
0.034000,0.064427,3.372261,3.000000
0.035000,0.067495,3.372261,3.000000
0.036000,0.070563,3.372261,3.000000
0.037000,0.076699,3.724965,3.000000
0.038000,0.079767,3.724965,3.000000
0.039000,0.082835,3.724965,3.000000
0.040000,0.088971,4.029887,3.000000
0.041000,0.092039,4.029887,3.000000
0.042000,0.098175,4.029887,3.000000
0.043000,0.101243,4.322891,3.000000
0.044000,0.107379,4.322891,3.000000
0.045000,0.110447,4.322891,3.000000
0.046000,0.116583,4.590299,3.000000
0.047000,0.119651,4.590299,3.000000
0.048000,0.125786,4.819524,3.000000
0.049000,0.131922,4.819524,3.000000
0.050000,0.134990,4.819524,3.000000
0.051000,0.141126,5.048642,3.000000
0.052000,0.147262,5.048642,3.000000
0.053000,0.153398,5.241050,3.000000
0.054000,0.156466,5.241050,3.000000
0.055000,0.162602,5.454861,3.000000
0.056000,0.168738,5.454861,3.000000
0.057000,0.174874,5.610236,3.000000
0.058000,0.181010,5.610236,3.000000
0.059000,0.187146,5.796239,3.000000
0.060000,0.193282,5.796239,3.000000
0.061000,0.199418,5.934481,3.000000
0.062000,0.205553,5.934481,3.000000
0.063000,0.211689,6.081946,3.000000
0.064000,0.217825,6.081946,3.000000
0.065000,0.223961,6.190824,3.000000
0.066000,0.230097,6.190824,3.000000
0.067000,0.236233,6.318863,3.000000
0.068000,0.242369,6.318863,3.000000
0.069000,0.248505,6.417630,3.000000
0.070000,0.254641,6.417630,3.000000
0.071000,0.260777,6.520448,3.000000
0.072000,0.269981,6.520448,3.000000
0.073000,0.276117,6.630145,3.000000
