t,alpha,alpha_dot
0,-3.14159,-0
0.001,-3.14159,-0
0.002,-3.14159,-0
0.003,-3.14159,-0
0.004,-3.14159,-0
0.005,-3.14159,-0
0.006,-3.14159,-0
0.007,-3.14159,-0
0.008,-3.14159,-0
0.009,-3.14159,-0
0.01,-3.14159,-0
0.011,-3.14159,-0
0.012,-3.14159,-0
0.013,-3.14159,-0
0.014,-3.14159,-0
0.015,-3.14159,-0
0.016,-3.14159,-0
0.017,-3.14159,-0
0.018,-3.14159,-0
0.019,-3.14159,-0
0.02,-3.14159,-0
0.021,-3.14159,-0
0.022,-3.14159,-0
0.023,-3.14159,-0
0.024,-3.14159,-0
0.025,-3.14159,-0
0.026,-3.14159,-0
0.027,-3.14159,-0
0.028,-3.14159,-0
0.029,-3.14159,-0
0.03,-3.14159,-0
0.031,-3.14159,-0
0.032,-3.14159,-0
0.033,-3.14159,-0
0.034,-3.14159,-0
0.035,-3.14159,-0
0.036,-3.14159,-0
0.037,-3.14159,-0
0.038,-3.14159,-0
0.039,-3.14159,-0
0.04,-3.14159,-0
0.041,-3.14159,-0
0.042,-3.14159,-0
0.043,-3.14159,-0
0.044,-3.14159,-0
0.045,-3.14159,-0
0.046,-3.14159,-0
0.047,-3.14159,-0
0.048,-3.14159,-0
0.049,-3.14159,-0
0.05,-3.14159,-0
0.051,-3.14159,-0
0.052,-3.14159,-0
0.053,-3.14159,-0
0.054,-3.14159,-0
0.055,-3.14159,-0
0.056,-3.14159,-0
0.057,-3.14159,-0
0.058,-3.14159,-0
0.059,-3.14159,-0
0.06,-3.14159,-0
0.061,-3.14159,-0
0.062,-3.14159,-0
0.063,-3.14159,-0
0.064,-3.14159,-0
0.065,-3.14159,-0
0.066,-3.14159,-0
0.067,-3.14159,-0
0.068,-3.14159,-0
0.069,-3.14159,-0
0.07,-3.14159,-0
0.071,-3.14159,-0
0.072,-3.14159,-0
0.073,-3.14159,-0
0.074,-3.14159,-0
0.075,-3.14159,-0
0.076,-3.14159,-0
0.077,-3.14159,-0
0.078,-3.14159,-0
0.079,-3.14159,-0
0.08,-3.14159,-0
0.081,-3.14159,-0
0.082,-3.14159,-0
0.083,-3.14159,-0
0.084,-3.14159,-0
0.085,-3.14159,-0
0.086,-3.14159,-0
0.087,-3.14159,-0
0.088,-3.14159,-0
0.089,-3.14159,-0
0.09,-3.14159,-0
0.091,-3.14159,-0
0.092,-3.14159,-0
0.093,-3.14159,-0
0.094,-3.14159,-0
0.095,-3.14159,-0
0.096,-3.14159,-0
0.097,-3.14159,-0
0.098,-3.14159,-0
0.099,-3.14159,-0
0.1,-3.14159,-0
0.101,-3.14159,-0
0.102,-3.14159,-0
0.103,-3.14159,-0
0.104,-3.14159,-0
0.105,-3.14159,-0
0.106,-3.14159,-0
0.107,-3.14159,-0
0.108,-3.14159,-0
0.109,-3.14159,-0
0.11,-3.14159,-0
0.111,-3.14159,-0
0.112,-3.14159,-0
0.113,-3.14159,-0
0.114,-3.14159,-0
0.115,-3.14159,-0
0.116,-3.14159,-0
0.117,-3.14159,-0
0.118,-3.14159,-0
0.119,-3.14159,-0
0.12,-3.14159,-0
0.121,-3.14159,-0
0.122,-3.14159,-0
0.123,-3.14159,-0
0.124,-3.14159,-0
0.125,-3.14159,-0
0.126,-3.14159,-0
0.127,-3.14159,-0
0.128,-3.14159,-0
0.129,-3.14159,-0
0.13,-3.14159,-0
0.131,-3.14159,-0
0.132,-3.14159,-0
0.133,-3.14159,-0
0.134,-3.14159,-0
0.135,-3.14159,-0
0.136,-3.14159,-0
0.137,-3.14159,-0
0.138,-3.14159,-0
0.139,-3.14159,-0
0.14,-3.14159,-0
0.141,-3.14159,-0
0.142,-3.14159,-0
0.143,-3.14159,-0
0.144,-3.14159,-0
0.145,-3.14159,-0
0.146,-3.14159,-0
0.147,-3.14159,-0
0.148,-3.14159,-0
0.149,-3.14159,-0
0.15,-3.14159,-0
0.151,-3.14159,-0
0.152,-3.14159,-0
0.153,-3.14159,-0
0.154,-3.14159,-0
0.155,-3.14159,-0
