t,theta,alpha,theta_dot,alpha_dot,voltage,mode
0.000000,-0.000490,0.099555,-0.489299,-0.444807,-2.300060,1
0.002000,-0.001857,0.098317,-0.876831,-0.792578,-1.891874,1
0.004000,-0.003917,0.096461,-1.182929,-1.062898,-1.561903,1
0.006000,-0.006523,0.094127,-1.423680,-1.271257,-1.294426,1
0.008000,-0.009559,0.091426,-1.611883,-1.429972,-1.077046,1
0.010000,-0.012928,0.088447,-1.757766,-1.548883,-0.899924,1
0.012000,-0.016555,0.085263,-1.869532,-1.635878,-0.755205,1
0.014000,-0.020378,0.081930,-1.953775,-1.697296,-0.636597,1
0.016000,-0.024348,0.078495,-2.015806,-1.738238,-0.539043,1
0.018000,-0.028423,0.074994,-2.059902,-1.762812,-0.458473,1
0.020000,-0.032572,0.071458,-2.089517,-1.774330,-0.391604,1
0.022000,-0.036769,0.067908,-2.107434,-1.775459,-0.335790,1
0.024000,-0.040845,0.064506,-1.969259,-1.627832,0.311103,1
0.026000,-0.044819,0.061231,-2.004707,-1.647351,-0.386112,1
0.028000,-0.048850,0.057929,-2.026917,-1.654939,-0.325011,1
0.030000,-0.052768,0.054763,-1.891265,-1.511925,0.325894,1
0.032000,-0.056588,0.051715,-1.929250,-1.536116,-0.369024,1
0.034000,-0.060395,0.048704,-1.878078,-1.475499,0.000000,1
0.036000,-0.064181,0.045735,-1.908614,-1.493938,-0.322829,1
0.038000,-0.067868,0.042882,-1.778619,-1.359048,0.335295,1
0.040000,-0.071468,0.040133,-1.821590,-1.390745,-0.354842,1
0.042000,-0.074990,0.037477,-1.701070,-1.266187,0.313347,1
0.044000,-0.078443,0.034904,-1.751717,-1.306485,-0.369187,1
0.046000,-0.081907,0.032337,-1.712349,-1.260984,0.000000,1
0.048000,-0.085294,0.029859,-1.674933,-1.217933,0.000000,1
0.050000,-0.088608,0.027464,-1.639404,-1.177252,0.000000,1
0.052000,-0.091930,0.025074,-1.682987,-1.213063,-0.312445,1
0.054000,-0.095174,0.022770,-1.562092,-1.091514,0.356735,1
0.056000,-0.098349,0.020543,-1.612731,-1.135164,-0.325890,1
0.058000,-0.101459,0.018389,-1.497220,-1.019797,0.348939,1
0.060000,-0.104508,0.016301,-1.552160,-1.068571,-0.329426,1
0.062000,-0.107500,0.014275,-1.439890,-0.957267,0.348838,1
0.064000,-0.110437,0.012309,-1.497415,-1.009457,-0.326985,1
0.066000,-0.113321,0.010399,-1.387063,-0.900891,0.353319,1
0.068000,-0.116154,0.008543,-1.446113,-0.955425,-0.321037,1
0.070000,-0.118936,0.006739,-1.336872,-0.848774,0.360432,1
0.072000,-0.121670,0.004985,-1.396798,-0.904977,-0.313123,1
0.074000,-0.124355,0.003281,-1.288183,-0.799729,0.368959,1
0.076000,-0.126916,0.001697,-1.273180,-0.784752,0.000000,1
0.078000,-0.129448,0.000141,-1.259340,-0.771251,0.000000,1
0.080000,-0.131874,-0.001313,-1.167234,-0.682935,0.320291,1
0.082000,-0.134282,-0.002750,-1.240650,-0.753902,-0.340009,1
0.084000,-0.136665,-0.004164,-1.142621,-0.660556,0.352428,1
0.086000,-0.139019,-0.005552,-1.211341,-0.727658,-0.312716,1
0.088000,-0.141340,-0.006910,-1.109611,-0.631394,0.375827,1
0.090000,-0.143552,-0.008168,-1.102909,-0.626683,0.000000,1
0.092000,-0.145671,-0.009340,-1.016396,-0.545610,0.325584,1
0.094000,-0.147782,-0.010508,-1.094165,-0.622556,-0.330843,1
0.096000,-0.149875,-0.011665,-0.999634,-0.534319,0.364429,1
0.098000,-0.151872,-0.012734,-0.997081,-0.534657,0.000000,1
0.100000,-0.153784,-0.013728,-0.915458,-0.459304,0.322055,1
0.102000,-0.155697,-0.014728,-0.997053,-0.540904,-0.330968,1
0.104000,-0.157599,-0.015725,-0.905643,-0.456614,0.366824,1
0.106000,-0.159411,-0.016643,-0.906639,-0.461267,0.000000,1
0.108000,-0.161145,-0.017492,-0.826780,-0.388489,0.328854,1
0.110000,-0.162881,-0.018353,-0.909751,-0.472248,-0.323309,1
0.112000,-0.164610,-0.019215,-0.819560,-0.389944,0.374991,1
0.114000,-0.166175,-0.019928,-0.745834,-0.323629,0.314366,1
0.116000,-0.167755,-0.020664,-0.833648,-0.412575,-0.333390,1
0.118000,-0.169336,-0.021411,-0.747395,-0.334570,0.368267,1
0.120000,-0.170760,-0.022018,-0.676831,-0.271782,0.310298,1
0.122000,-0.172204,-0.022653,-0.767156,-0.363599,-0.335426,1
0.124000,-0.173654,-0.023304,-0.683007,-0.288060,0.367718,1
0.126000,-0.174951,-0.023820,-0.614169,-0.227351,0.310930,1
0.128000,-0.176271,-0.024368,-0.705882,-0.320898,-0.333923,1
0.130000,-0.177600,-0.024936,-0.622957,-0.246918,0.369798,1
0.132000,-0.178777,-0.025370,-0.555158,-0.187572,0.313472,1
0.134000,-0.179980,-0.025840,-0.647730,-0.282284,-0.331075,1
0.136000,-0.181194,-0.026331,-0.565616,-0.209412,0.372786,1
0.138000,-0.182258,-0.026692,-0.498537,-0.151069,0.316574,1
0.140000,-0.183348,-0.027089,-0.591729,-0.246666,-0.327939,1
