t,theta,alpha,theta_dot,alpha_dot,voltage,mode
0.000000,1.030835,-0.214757,5.605751,0.945683,6.000000,1
0.001000,1.030835,-0.214757,5.605751,0.945683,6.000000,1
0.002000,1.030835,-0.214757,5.605751,0.945683,6.000000,1
0.003000,1.030835,-0.214757,5.605751,0.945683,6.000000,1
0.004000,1.030835,-0.214757,5.605751,0.945683,6.000000,1
0.005000,1.030835,-0.214757,5.605751,0.945683,6.000000,1
0.006000,1.049243,-0.211689,5.669817,0.789812,6.000000,1
0.007000,1.049243,-0.211689,5.669817,0.789812,6.000000,1
0.008000,1.049243,-0.211689,5.669817,0.789812,6.000000,1
0.009000,1.089126,-0.208621,5.774911,0.789812,6.000000,1
0.010000,1.113670,-0.208621,6.299581,0.789812,6.000000,1
0.011000,1.119806,-0.208621,6.299581,0.789812,6.000000,1
0.012000,1.129010,-0.205553,6.354994,0.789812,6.000000,1
0.013000,1.135146,-0.205553,6.631837,0.789812,6.000000,1
0.014000,1.141282,-0.202485,6.631837,0.789812,6.000000,1
0.015000,1.150486,-0.202485,7.059434,0.746559,6.000000,1
0.016000,1.156622,-0.202485,7.059434,0.703522,6.000000,1
0.017000,1.162757,-0.199418,7.294599,0.694262,6.000000,1
0.018000,1.171961,-0.196350,7.565355,0.694262,6.000000,1
0.019000,1.181165,-0.196350,7.565355,0.694262,6.000000,1
0.020000,1.187301,-0.193282,7.920017,0.694262,6.000000,1
0.021000,1.196505,-0.190214,8.175705,0.694262,6.000000,1
0.022000,1.205709,-0.187146,8.175705,2.246242,6.000000,1
0.023000,1.214913,-0.184078,8.433373,2.246242,6.000000,1
0.024000,1.214913,-0.184078,8.433373,2.246242,6.000000,1
0.025000,1.214913,-0.184078,8.433373,2.246242,6.000000,1
0.026000,1.214913,-0.184078,8.433373,2.246242,6.000000,1
0.027000,1.214913,-0.184078,8.433373,2.246242,6.000000,1
0.028000,1.214913,-0.184078,8.433373,2.246242,6.000000,1
0.029000,1.224117,-0.181010,8.720875,2.246242,6.000000,1
0.030000,1.224117,-0.181010,8.720875,2.246242,6.000000,1
