t,theta,alpha,theta_dot,alpha_dot,voltage
0.000000,0.000000,-3.141593,-0.000000,0.000000,0.000000
0.002000,-0.000554,-3.141060,-0.553429,0.531437,-2.500000
0.004000,-0.002210,-3.139471,-1.101016,1.057021,-2.500000
0.006000,-0.004954,-3.136837,-1.642088,1.575868,-2.500000
0.008000,-0.008773,-3.133172,-2.175918,2.087041,-2.500000
0.010000,-0.013652,-3.128494,-2.701692,2.589529,-2.500000
0.012000,-0.019574,-3.122821,-3.218489,3.082218,-2.500000
0.014000,-0.026520,-3.116173,-3.725265,3.563886,-2.500000
0.016000,-0.034468,-3.108574,-4.220843,4.033190,-2.500000
0.018000,-0.043395,-3.100049,-4.703917,4.488669,-2.500000
0.020000,-0.053274,-3.090629,-5.173065,4.928761,-2.500000
0.022000,-0.064077,-3.080346,-5.626764,5.351823,-2.500000
0.024000,-0.075770,-3.069234,-6.063432,5.756164,-2.500000
0.026000,-0.088318,-3.057335,-6.481463,6.140093,-2.500000
0.028000,-0.101682,-3.044689,-6.879287,6.501966,-2.500000
0.030000,-0.115821,-3.031342,-7.255420,6.840247,-2.500000
0.032000,-0.130689,-3.017344,-7.608529,7.153566,-2.500000
0.034000,-0.146239,-3.002746,-7.937489,7.440776,-2.500000
0.036000,-0.162422,-2.987599,-8.241433,7.701003,-2.500000
0.038000,-0.179187,-2.971960,-8.519794,7.933684,-2.500000
0.040000,-0.196484,-2.955883,-8.772329,8.138592,-2.500000
0.042000,-0.214259,-2.939424,-8.999132,8.315840,-2.500000
0.044000,-0.232463,-2.922638,-9.200628,8.465876,-2.500000
0.046000,-0.251046,-2.905578,-9.377548,8.589456,-2.500000
0.048000,-0.269958,-2.888297,-9.530899,8.687609,-2.500000
0.050000,-0.289154,-2.870844,-9.661917,8.761588,-2.500000
0.052000,-0.308592,-2.853266,-9.772018,8.812819,-2.500000
0.054000,-0.328229,-2.835607,-9.862749,8.842852,-2.500000
0.056000,-0.348031,-2.817907,-9.935737,8.853309,-2.500000
0.058000,-0.367962,-2.800205,-9.992645,8.845836,-2.500000
0.060000,-0.387992,-2.782535,-10.035128,8.822066,-2.500000
0.062000,-0.408094,-2.764927,-10.064806,8.783589,-2.500000
0.064000,-0.428243,-2.747409,-10.083234,8.731922,-2.500000
0.066000,-0.448420,-2.730007,-10.091886,8.668496,-2.500000
0.068000,-0.468605,-2.712742,-10.092140,8.594639,-2.500000
0.070000,-0.488784,-2.695635,-10.085270,8.511578,-2.500000
0.072000,-0.508943,-2.678701,-10.072445,8.420426,-2.500000
0.074000,-0.529070,-2.661958,-10.054725,8.322195,-2.500000
0.076000,-0.549159,-2.645417,-10.033070,8.217789,-2.500000
0.078000,-0.569201,-2.629090,-10.008339,8.108016,-2.500000
0.080000,-0.589191,-2.612988,-9.981297,7.993594,-2.500000
0.082000,-0.609125,-2.597118,-9.952624,7.875156,-2.500000
0.084000,-0.629000,-2.581489,-9.922920,7.753259,-2.500000
